_time,bits_transferred
1118152800,3397.254111289978
1118153100,3538.337298393249
1118153400,3697.84326839447
1118153700,3696.780081748962
1118154000,4370.253163337708
1118154300,4783.951634407044
1118154600,4961.50364112854
1118154900,5159.955010414124
1118155200,5157.538719177246
1118155500,5338.7154388427725
1118155800,5024.131750106812
1118156100,4964.795980453491
1118156400,5296.97852897644
1118156700,5790.52424621582
1118157000,6230.744658470154
1118157300,6134.616943359375
1118157600,6125.101366996765
1118157900,6116.240735054016
1118158200,6140.206196784973
1118158500,6287.881009101868
1118158800,6090.925513267517
1118159100,6106.213978767395
1118159400,6149.902540206909
1118159700,6444.943236351013
1118160000,6578.004055976868
1118160300,6318.744617462158
1118160600,6472.199471473694
1118160900,6428.805209159851
1118161200,6540.195611953735
1118161500,6566.652213096619
1118161800,6710.230065345764
1118162100,6850.071041107178
1118162400,6578.238547325134
1118162700,6487.775999069214
1118163000,6538.681096076965
1118163300,6640.994804382324
1118163600,6946.149091720581
1118163900,6956.439946174622
1118164200,6940.625849723816
1118164500,6988.19362449646
1118164800,7068.572106361389
1118165100,7209.417175292969
1118165400,7118.362767219544
1118165700,7206.283537864685
1118166000,7182.272839546204
1118166300,7106.388395309448
1118166600,6915.6194677352905
1118166900,7045.088791847229
1118167200,7185.842716217041
1118167500,7314.169633865356
1118167800,7444.713407516479
1118168100,7280.201019287109
1118168400,7311.74964427948
1118168700,7171.787818908691
1118169000,7154.223814964294
1118169300,7408.006220817566
1118169600,6897.553540229797
1118169900,6937.349582672119
1118170200,7065.755058288574
1118170500,6895.773192405701
1118170800,7013.480805397034
1118171100,6778.6194677352905
1118171400,6957.741858482361
1118171700,6752.966996192932
1118172000,7254.079479217529
1118172300,7287.994381904602
1118172600,7485.279774665832
1118172900,7366.368288993835
1118173200,7296.526663780212
1118173500,7394.699810028076
1118173800,7385.262888908386
1118174100,6997.016202926636
1118174400,7138.876606941223
1118174700,7165.538066864014
1118175000,7290.063679695129
1118175300,7071.458898544312
1118175600,7166.523098945618
1118175900,7100.27526473999
1118176200,6956.468461036682
1118176500,6898.264548301697
1118176800,6993.238314628601
1118177100,7165.424479484558
1118177400,7179.954231262207
1118177700,8140.823637008667
1118178000,7366.983968734741
1118178300,7246.97260761261
1118178600,7008.045210838318
1118178900,6986.930084228516
1118179200,7285.601301193237
1118179500,7440.995553970337
1118179800,7138.893335342407
1118180100,7014.23429775238
1118180400,7149.710954666138
1118180700,6900.434629440308
1118181000,7089.983208656311
1118181300,7171.062315940857
1118181600,7060.134673118591
1118181900,7025.5199184417725
